"42894937 4487693745637641"
"3697530426657 33043374064723"
"4959919779747926 540183683840399"
"671855690340590 1189399329510025"
"61472313 613600092313803"
"1740649977977034 967987476490979"
"7001335639 112788683147"
"242201995416691 20874062197911"
"239200831437 416584753425"
"9410401 487693815385777"
"7940340858628646 7758582145894487"
"1727237283513850 2664173408093903"
"5967045692759415 1447177008766405"
"3127897756337674 744701328148039"
"4868453507299125 3054046499253187"
"8788695836355381 3258998805310561"
"105363920247190 130420340960659"
"4319322221837315 9"
"0 1"
"405117289856894 103281907"
"7386274475029222 4606904345496685"
"2686140780852382 54629617"
"589058197588848 2422444005345663"
"4128430458278884 1"
"3291047117043780 6449737955994083"
"39273807 1080444148985271"
"300141607609928 50330483"
"747058868698208 434621224588711"
"0 6037041703376123"
"7 6120741512797597"
"155472566797 211290355081"
"4 7520820370889589"
"5927278089456672 116358177"
"45003839 1371147309122099"
"761365318192878 41923847"
"16310675 14311524497275"
"1808406610738292 2744380499446303"
"22308475 100273092694425"
"4606687895777492 4109343613974805"
"7281968368351600 1447680587146099"
"153870488878417 4971583"
"7888871508560588 8403575379401297"
"3290353636106184 15"
"1987194909452064 193253255012641"
"6617301391063895 114987383"
"3298659230420029 7"
"1319345274466812 230967063297023"
"3 6799211125418893"
"8750872650699741 11"
"4463057244497077 4020898908305009"
"1274522392676990 4686074608809571"
"7988021545451218 73014369911921"
"1 4068631534672013"
"4931445042366823 918330924971423"
"6238781283843575 6464042035474725"
"1354779485069132 5460410443346393"
"4646938277375717 4859276753155977"
"7408375633373818 1089387382926121"
"3668926875654357 1866726609399549"
"7067485139288525 5628365621121183"
"307047199066881 115032810604285"
"7235755494380521 6784784135734627"
"4227269218760429 6319021108595609"
"1610918698787491 1211374821680361"
"8738316636292200 346960053491465"
"414673292848 631438893115"
"658745086889395 290206119012815"
"5525794485704661 98478681"
"598722235860021 6562771857879973"
"47173527 5439059310234825"
"4062535139224971 17"
"1891444432838894 8485391889886577"
"306879820598313 1479362769974925"
"101538762556 3792259405"
"8 1157828023211153"
"629525993806297 995954375093177"
"727974570431700 628847762942925"
"22369167 1031664528044145"
"303581823721898 421831921418377"
"6324248273028547 365280610865407"
"3579648952461750 131147893"
"4622568476421908 4170463869060991"
"4709231629207099 5"
"7180901224118067 3"
"2697003640341 2269394687599"
"2160244137148 1154665400207"
"5 9520478195361"
"1368721858884766 768577319776161"
"6 1617569362271051"
"198934892602 102969254335"
"7093552437015 3344673799945"
"8379691747466791 6117066177655515"
"22784182380582 29323065931521"
"2646524884829005 1722371757685983"
"4783105183274 2699340215527"
"2261084910305880 1283923967498565"
"1711478784960667 13"
"2 700046874815877"
